claim_id,claimant_id,policy_number,policy_inception_date,loss_date,loss_type,claimed_amount,state,provider,tow_company,has_attached_image
CLM-0001,C-10001,POL-FL-2024-0001,2024-03-15,2026-04-20,collision,3200.00,FL,Coastal Auto Body,Standard Tow Co,FALSE
CLM-0002,C-10002,POL-CA-2024-0002,2024-06-10,2026-05-02,comprehensive,1800.00,CA,Bay Area Glass,,FALSE
CLM-0003,C-10003,POL-TX-2024-0003,2023-11-22,2026-03-15,bi_liability,8500.00,TX,Houston Medical Center,,FALSE
CLM-0004,C-10004,POL-NY-2024-0004,2024-01-05,2026-04-12,pip,4200.00,NY,NYC Wellness Clinic,,FALSE
CLM-0005,C-10005,POL-FL-2024-0005,2024-09-30,2026-05-18,vandalism,950.00,FL,Sunshine Body Shop,,FALSE
CLM-0006,C-10006,POL-CA-2024-0006,2024-04-18,2026-03-28,pd_liability,2400.00,CA,LA Auto Repair,,FALSE
CLM-0007,C-10007,POL-FL-2026-0042,2026-05-20,2026-05-28,collision,8500.00,FL,Sunshine Auto Repair,QuickTow LLC,TRUE
CLM-0008,C-10008,POL-FL-2024-0008,2024-08-12,2026-04-25,collision,3700.00,FL,Tropical Body Works,Quick Auto Tow,TRUE
CLM-0009,C-10009,POL-MI-2024-0009,2024-02-28,2026-05-10,pip,5800.00,MI,Detroit Pain Center,,FALSE
CLM-0010,C-10010,POL-NJ-2024-0010,2024-07-19,2026-04-08,pip,3200.00,NJ,Newark Health Group,,FALSE
CLM-0011,C-10011,POL-FL-2024-0011,2024-05-22,2026-04-30,umuim,4100.00,FL,St. Pete Auto,,FALSE
CLM-0012,C-10012,POL-TX-2024-0012,2024-10-04,2026-05-15,collision,2900.00,TX,Dallas Collision,,FALSE
CLM-0013,C-10003,POL-CA-2024-0013,2024-03-08,2026-05-22,theft,12000.00,CA,Sunshine Auto Repair,QuickTow LLC,FALSE
CLM-0014,C-10014,POL-NY-2024-0014,2024-06-25,2026-04-18,comprehensive,1650.00,NY,Manhattan Glass,,FALSE
CLM-0015,C-10015,POL-PA-2024-0015,2024-11-11,2026-05-05,collision,4400.00,PA,Philly Auto Body,,FALSE
CLM-0016,C-10016,POL-MA-2024-0016,2024-01-30,2026-03-22,pip,2700.00,MA,Boston MedCenter,,FALSE
CLM-0017,C-10017,POL-FL-2024-0017,2024-04-07,2026-05-12,medpay,1200.00,FL,Tampa Family Medical,,FALSE
CLM-0018,C-10018,POL-CA-2024-0018,2024-09-14,2026-04-28,collision,3300.00,CA,LA Body Shop,QuickTow LLC,FALSE
CLM-0019,C-10019,POL-TX-2026-0099,2024-08-20,2026-05-25,bi_liability,15500.00,TX,AGRAT CHEMICALS AND PHARMACEUTICALS,,FALSE
CLM-0020,C-10020,POL-NY-2024-0020,2024-12-03,2026-04-15,pd_liability,2100.00,NY,Brooklyn Auto,,FALSE
